Script started on 2025-08-30 12:17:43+03:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="80" LINES="24"]
[?2004h]0;vboxuser@newlinuxtestname: ~[01;32mvboxuser@newlinuxtestname[00m:[01;34m~[00m$ ps aux
[?2004lUSER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.2  0.3  23312 14192 ?        Ss   12:04   0:02 /sbin/init sp
root           2  0.0  0.0      0     0 ?        S    12:04   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    12:04   0:00 [pool_workque
root           4  0.0  0.0      0     0 ?        I<   12:04   0:00 [kworker/R-rc
root           5  0.0  0.0      0     0 ?        I<   12:04   0:00 [kworker/R-sy
root           6  0.0  0.0      0     0 ?        I<   12:04   0:00 [kworker/R-kv
root           7  0.0  0.0      0     0 ?        I<   12:04   0:00 [kworker/R-sl
root           8  0.0  0.0      0     0 ?        I<   12:04   0:00 [kworker/R-ne
root           9  0.0  0.0      0     0 ?        I    12:04   0:00 [kworker/0:0-
root          11  0.0  0.0      0     0 ?        I<   12:04   0:00 [kworker/0:0H
root          12  0.0  0.0      0     0 ?        I    12:04   0:00 [kworker/u16:
root          13  0.0  0.0      0     0 ?        I<   12:04   0:00 [kworker/R-mm
root          14  0.0  0.0      0     0 ?        I    12:04   0:00 [rcu_tasks_kt
root          15  0.0  0.0      0     0 ?        I    12:04   0:00 [rcu_tasks_ru
root          16  0.0  0.0      0     0 ?        I    12:04   0:00 [rcu_tasks_tr
root          17  0.0  0.0      0     0 ?        S    12:04   0:00 [ksoftirqd/0]
root          18  0.0  0.0      0     0 ?        I    12:04   0:00 [rcu_preempt]
root          19  0.0  0.0      0     0 ?        S    12:04   0:00 [rcu_exp_par_
root          20  0.0  0.0      0     0 ?        S    12:04   0:00 [rcu_exp_gp_k
root          21  0.0  0.0      0     0 ?        S    12:04   0:00 [migration/0]
root          22  0.0  0.0      0     0 ?        S    12:04   0:00 [idle_inject/
root          23  0.0  0.0      0     0 ?        S    12:04   0:00 [cpuhp/0]
root          24  0.0  0.0      0     0 ?        S    12:04   0:00 [cpuhp/1]
root          25  0.0  0.0      0     0 ?        S    12:04   0:00 [idle_inject/
root          26  0.0  0.0      0     0 ?        S    12:04   0:00 [migration/1]
root          27  0.0  0.0      0     0 ?        S    12:04   0:00 [ksoftirqd/1]
root          28  0.0  0.0      0     0 ?        I    12:04   0:00 [kworker/1:0-
root          29  0.0  0.0      0     0 ?        I<   12:04   0:00 [kworker/1:0H
root          30  0.0  0.0      0     0 ?        S    12:04   0:00 [cpuhp/2]
root          31  0.0  0.0      0     0 ?        S    12:04   0:00 [idle_inject/
root          32  0.0  0.0      0     0 ?        S    12:04   0:00 [migration/2]
root          33  0.0  0.0      0     0 ?        S    12:04   0:00 [ksoftirqd/2]
root          34  0.0  0.0      0     0 ?        I    12:04   0:00 [kworker/2:0-
root          35  0.0  0.0      0     0 ?        I<   12:04   0:00 [kworker/2:0H
root          36  0.0  0.0      0     0 ?        S    12:04   0:00 [cpuhp/3]
root          37  0.0  0.0      0     0 ?        S    12:04   0:00 [idle_inject/
root          38  0.0  0.0      0     0 ?        S    12:04   0:00 [migration/3]
root          39  0.0  0.0      0     0 ?        S    12:04   0:00 [ksoftirqd/3]
root          41  0.0  0.0      0     0 ?        I<   12:04   0:00 [kworker/3:0H
root          44  0.0  0.0      0     0 ?        I    12:04   0:00 [kworker/u19:
root          45  0.2  0.0      0     0 ?        I    12:04   0:02 [kworker/u20:
root          46  0.0  0.0      0     0 ?        S    12:04   0:00 [kdevtmpfs]
root          47  0.0  0.0      0     0 ?        I<   12:04   0:00 [kworker/R-in
root          48  0.0  0.0      0     0 ?        S    12:04   0:00 [kauditd]
root          49  0.0  0.0      0     0 ?        S    12:04   0:00 [khungtaskd]
